205438062,9/12/2016,In Attendance
205438062,9/13/2016,In Attendance
205438062,9/14/2016,In Attendance
205438062,9/15/2016,In Attendance
205438062,9/16/2016,In Attendance
205438062,9/19/2016,In Attendance
205438062,9/21/2016,In Attendance
205438062,9/22/2016,In Attendance
205438062,9/23/2016,In Attendance
205438062,9/26/2016,In Attendance
205438062,9/27/2016,In Attendance
205438062,9/28/2016,In Attendance
205438062,10/4/2016,In Attendance
205438062,10/5/2016,In Attendance
205438062,10/6/2016,In Attendance
205438062,10/7/2016,In Attendance
205438062,10/11/2016,In Attendance
205438062,10/12/2016,In Attendance
205438062,10/13/2016,In Attendance
205438062,10/14/2016,In Attendance
205438062,10/17/2016,In Attendance
205438062,10/18/2016,In Attendance
205438062,10/19/2016,In Attendance
205438062,10/20/2016,In Attendance
205438062,10/21/2016,In Attendance
205438062,10/24/2016,In Attendance
205438062,10/25/2016,In Attendance
205438062,10/26/2016,In Attendance
205438062,10/31/2016,In Attendance
205438062,11/1/2016,In Attendance
205438062,11/3/2016,In Attendance
205438062,11/4/2016,In Attendance
205438062,11/7/2016,In Attendance
205438062,11/8/2016,In Attendance
205438062,11/9/2016,In Attendance
205438062,11/10/2016,In Attendance
205438062,11/14/2016,In Attendance
205438062,11/15/2016,In Attendance
216095224,8/12/2016,Tardy
205438062,11/17/2016,In Attendance
205438062,11/18/2016,In Attendance
205438062,11/28/2016,In Attendance
205438062,11/29/2016,In Attendance
205438062,11/30/2016,In Attendance
205438062,12/1/2016,In Attendance
205438062,12/2/2016,In Attendance
205438062,12/5/2016,In Attendance
205438062,12/6/2016,Unexcused Absence
205438062,12/7/2016,Unexcused Absence
205438062,12/8/2016,In Attendance
205438062,12/9/2016,In Attendance
205438062,12/12/2016,In Attendance
205438062,12/13/2016,In Attendance
236958724,8/12/2016,Tardy
205438062,12/15/2016,In Attendance
205438062,12/16/2016,In Attendance
205438062,12/19/2016,In Attendance
205438062,12/20/2016,In Attendance
205438062,12/21/2016,In Attendance
205438062,12/22/2016,Unexcused Absence
205438062,1/4/2017,Unexcused Absence
205438062,1/5/2017,In Attendance
205438062,1/6/2017,Unexcused Absence
205438062,1/9/2017,In Attendance
205438062,1/10/2017,In Attendance
205438062,1/11/2017,In Attendance
205438062,1/12/2017,In Attendance
205438062,1/13/2017,In Attendance
205438062,1/17/2017,Unexcused Absence
218545978,9/2/2016,Tardy
205438062,1/19/2017,In Attendance
205438062,1/20/2017,In Attendance
205438062,1/23/2017,In Attendance
205438062,1/24/2017,In Attendance
205438062,1/25/2017,In Attendance
205438062,1/26/2017,In Attendance
205438062,1/27/2017,In Attendance
205438062,1/30/2017,In Attendance
205438062,1/31/2017,In Attendance
205438062,2/1/2017,In Attendance
205438062,2/2/2017,In Attendance
205438062,2/3/2017,In Attendance
205438062,2/6/2017,In Attendance
205438062,2/7/2017,In Attendance
219588654,9/2/2016,Tardy
205438062,2/10/2017,In Attendance
205438062,2/13/2017,In Attendance
205438062,2/14/2017,In Attendance
205438062,2/15/2017,In Attendance
220076152,9/12/2016,Tardy
205438062,2/17/2017,In Attendance
205438062,2/28/2017,In Attendance
221398134,9/12/2016,Tardy
222602104,9/12/2016,Tardy
205438062,3/3/2017,Unexcused Absence
215366907,9/13/2016,Tardy
219056090,9/13/2016,Tardy
220076152,9/13/2016,Tardy
220360051,9/13/2016,Tardy
205438062,3/10/2017,Unexcused Absence
221181464,9/13/2016,Tardy
205438062,3/15/2017,Unexcused Absence
222487142,9/13/2016,Tardy
205438062,3/17/2017,Unexcused Absence
205438062,3/21/2017,In Attendance
222602104,9/13/2016,Tardy
219056090,9/14/2016,Tardy
221394521,9/14/2016,Tardy
234896496,9/14/2016,Tardy
205438062,3/28/2017,In Attendance
209862077,9/15/2016,Tardy
219051869,9/15/2016,Tardy
205438062,3/31/2017,In Attendance
220190565,9/15/2016,Tardy
221394521,9/15/2016,Tardy
205438062,4/5/2017,In Attendance
222487142,9/15/2016,Tardy
205438062,4/7/2017,In Attendance
222602104,9/15/2016,Tardy
234192482,9/15/2016,Tardy
205438062,4/13/2017,In Attendance
205438062,4/18/2017,In Attendance
205438062,4/19/2017,In Attendance
234048551,9/15/2016,Tardy
205438062,4/21/2017,In Attendance
205438062,4/22/2017,In Attendance
206213316,9/16/2016,Tardy
221261506,9/16/2016,Tardy
221394521,9/16/2016,Tardy
205438062,4/27/2017,In Attendance
205438062,4/28/2017,In Attendance
205438062,5/1/2017,In Attendance
205438062,5/2/2017,In Attendance
205438062,5/3/2017,In Attendance
221398134,9/16/2016,Tardy
222487142,9/16/2016,Tardy
222966491,9/16/2016,Tardy
205438062,5/9/2017,In Attendance
224357764,9/16/2016,Tardy
228040580,9/16/2016,Tardy
205438062,5/12/2017,In Attendance
205438062,5/22/2017,Unexcused Absence
205438062,5/23/2017,In Attendance
205438062,5/24/2017,In Attendance
219440773,9/19/2016,Tardy
206213316,1/10/2017,In Attendance
206213316,1/12/2017,In Attendance
221261506,9/19/2016,Tardy
206213316,1/17/2017,Unexcused Absence
211989876,9/20/2016,Tardy
206213316,1/19/2017,Unexcused Absence
214751406,9/20/2016,Tardy
206213316,1/24/2017,In Attendance
206213316,1/25/2017,In Attendance
206213316,1/26/2017,Unexcused Absence
206213316,1/27/2017,Unexcused Absence
206213316,1/30/2017,In Attendance
206213316,1/31/2017,In Attendance
206213316,2/1/2017,Unexcused Absence
220076152,9/20/2016,Tardy
222602104,9/20/2016,Tardy
222966491,9/20/2016,Tardy
219911674,9/20/2016,Tardy
234048551,9/20/2016,Tardy
206213316,9/21/2016,Tardy
206213316,2/13/2017,In Attendance
206213316,2/14/2017,In Attendance
206213316,2/15/2017,In Attendance
206213316,2/16/2017,In Attendance
206213316,2/17/2017,In Attendance
206213316,2/28/2017,In Attendance
206213316,3/1/2017,In Attendance
206213316,3/2/2017,In Attendance
206213316,3/3/2017,In Attendance
206213316,3/6/2017,In Attendance
206213316,3/7/2017,In Attendance
206213316,3/8/2017,In Attendance
206213316,3/9/2017,In Attendance
206213316,3/10/2017,In Attendance
211989876,9/21/2016,Tardy
206213316,3/15/2017,In Attendance
206213316,3/16/2017,In Attendance
206213316,3/17/2017,In Attendance
206213316,3/27/2017,In Attendance
206213316,3/29/2017,In Attendance
206213316,3/31/2017,In Attendance
206213316,4/3/2017,Unexcused Absence
206213316,4/4/2017,In Attendance
206213316,4/5/2017,In Attendance
206213316,4/6/2017,In Attendance
206213316,4/7/2017,In Attendance
206213316,4/11/2017,In Attendance
206213316,4/12/2017,In Attendance
206213316,4/13/2017,In Attendance
206213316,4/18/2017,Unexcused Absence
206213316,4/19/2017,In Attendance
206213316,4/20/2017,In Attendance
206213316,4/21/2017,In Attendance
206213316,4/24/2017,In Attendance
206213316,4/25/2017,In Attendance
206213316,4/26/2017,Unexcused Absence
215366907,9/21/2016,Tardy
206213316,4/28/2017,In Attendance
206213316,5/1/2017,In Attendance
206213316,5/2/2017,In Attendance
206213316,5/3/2017,In Attendance
206213316,5/4/2017,In Attendance
206213316,5/5/2017,In Attendance
206213316,5/8/2017,In Attendance
206213316,5/9/2017,In Attendance
206213316,5/10/2017,In Attendance
206213316,5/11/2017,In Attendance
206213316,5/12/2017,Unexcused Absence
206213316,5/22/2017,In Attendance
206213316,5/23/2017,In Attendance
206213316,5/24/2017,In Attendance
206213316,9/14/2016,In Attendance
206213316,9/15/2016,In Attendance
220013163,9/21/2016,Tardy
220076152,9/21/2016,Tardy
206213316,9/22/2016,In Attendance
221398134,9/21/2016,Tardy
206213316,9/27/2016,Unexcused Absence
206213316,9/28/2016,In Attendance
206213316,9/29/2016,In Attendance
206213316,9/30/2016,Unexcused Absence
222602104,9/21/2016,Tardy
228040580,9/21/2016,Tardy
211989876,9/22/2016,Tardy
206213316,10/6/2016,In Attendance
206213316,10/7/2016,In Attendance
206213316,10/11/2016,In Attendance
206213316,10/12/2016,In Attendance
206213316,10/13/2016,In Attendance
206213316,10/14/2016,In Attendance
220044564,9/22/2016,Tardy
206213316,10/18/2016,In Attendance
220076152,9/22/2016,Tardy
206213316,10/20/2016,In Attendance
220190565,9/22/2016,Tardy
221398134,9/22/2016,Tardy
206213316,10/25/2016,In Attendance
206213316,10/26/2016,In Attendance
206213316,10/27/2016,In Attendance
206213316,10/28/2016,In Attendance
206213316,10/31/2016,In Attendance
206213316,11/1/2016,In Attendance
206213316,11/2/2016,In Attendance
206213316,11/3/2016,In Attendance
222602104,9/22/2016,Tardy
221040041,9/22/2016,Tardy
206213316,11/8/2016,Unexcused Absence
206213316,11/9/2016,In Attendance
206213316,11/10/2016,In Attendance
206213316,11/14/2016,In Attendance
206213316,11/15/2016,In Attendance
206213316,11/16/2016,In Attendance
206213316,11/17/2016,In Attendance
206213316,11/28/2016,In Attendance
206213316,11/29/2016,In Attendance
206213316,11/30/2016,Unexcused Absence
206213316,12/1/2016,In Attendance
206213316,9/23/2016,Tardy
206213316,12/6/2016,In Attendance
206213316,12/7/2016,In Attendance
206213316,12/8/2016,In Attendance
